,,,,,,,,,,,,,,,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL
,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.05,0.01,,,100%,100%,90%,90%,80%,80%,70%,70%,60%,60%,50%,50%,40%,40%,30%,30%,20%,20%,10%,10%,5%,5%,1%,1%
"Instruction_Counts,Malware,19","(0.0, 0.0)","(0.499144509062171, 0.6911939973011613)","(0.5906257948838174, 0.6849576658569276)","(0.5883498622104526, 0.40254152175039043)","(0.12072575762867925, 0.4042605547234416)","(0.6878034103661775, 0.591205251775682)","(0.5002969671040773, 0.6866493321955204)","(0.499144503287971, 0.4076688392087817)","(0.7804065802134573, 0.501968520693481)","(0.4054146273061633, 0.21731425374746322)","(0.5980033058673143, 0.7798504721373319)","(0.4997320072725415, 0.5934675160795451)",,,0.000 ,0.000 ,0.499 ,0.691 ,0.591 ,0.685 ,0.588 ,0.403 ,0.121 ,0.404 ,0.688 ,0.591 ,0.500 ,0.687 ,0.499 ,0.408 ,0.780 ,0.502 ,0.405 ,0.217 ,0.598 ,0.780 ,0.500 ,0.593 
"Instruction_Counts,Malware,20","(0.0, 0.0)","(0.6207603745162487, 0.6909839384257793)","(0.699801218509674, 0.8156974345445633)","(0.42980943210422995, 0.7142753645777702)","(0.6876529172062874, 0.7066443521529436)","(0.49425380155444143, 0.8025270462036133)","(0.6382508687674999, 0.5175363715738058)","(0.70956090092659, 0.6431633085012436)","(0.5930554624646902, 0.47516820561140777)","(0.4560834040865302, 0.4093902902677655)","(0.5176168493926525, 0.5794995844364166)","(0.51209922619164, 0.5047651646658778)",,,0.000 ,0.000 ,0.621 ,0.691 ,0.700 ,0.816 ,0.430 ,0.714 ,0.688 ,0.707 ,0.494 ,0.803 ,0.638 ,0.518 ,0.710 ,0.643 ,0.593 ,0.475 ,0.456 ,0.409 ,0.518 ,0.579 ,0.512 ,0.505 
"Instruction_Counts,Malware,21","(0.0, 0.0)","(0.5911907660774887, 0.5031056823208928)","(0.40085870809853075, 0.5900439420714975)","(0.5906306349672377, 0.6912052517756819)","(0.6849504232406616, 0.5048279406502842)","(0.5911754766479135, 0.40822092900052664)","(0.5946014706045389, 0.21901880092918868)","(0.30994961885735395, 0.6843782206997275)","(0.49916784595698116, 0.4980266608297825)","(0.43011202830821277, 0.6826793120242656)","(0.5019894374534488, 0.4985779343172908)","(0.5951527500525117, 0.3121981969103217)",,,0.000 ,0.000 ,0.591 ,0.503 ,0.401 ,0.590 ,0.591 ,0.691 ,0.685 ,0.505 ,0.591 ,0.408 ,0.595 ,0.219 ,0.310 ,0.684 ,0.499 ,0.498 ,0.430 ,0.683 ,0.502 ,0.499 ,0.595 ,0.312 
"Instruction_Counts,Malware,22","(0.0, 0.0)","(0.02868030527606601, 0.6911939973011613)","(0.02867789100855584, 0.6849576658569276)","(0.028676281683146898, 0.40254152175039043)","(0.028681110031902733, 0.4042605547234416)","(0.028678695298731276, 0.591205251775682)","(0.028673866949975445, 0.6866493321955204)","(0.028675476647913405, 0.4076688392087817)","(0.028673062194138694, 0.501968520693481)","(0.02867950052022929, 0.21731425374746322)","(0.028679500147700255, 0.7798504721373319)","(0.02867306228727099, 0.5934675160795451)",,,0.000 ,0.000 ,0.029 ,0.691 ,0.029 ,0.685 ,0.029 ,0.403 ,0.029 ,0.404 ,0.029 ,0.591 ,0.029 ,0.687 ,0.029 ,0.408 ,0.029 ,0.502 ,0.029 ,0.217 ,0.029 ,0.780 ,0.029 ,0.593 
"Instruction_Counts,Malware,23","(0.0, 0.0)","(0.866265618801117, 0.6909839384257793)","(0.822257274389267, 0.8156974345445633)","(0.7762490272521972, 0.7142753645777702)","(0.7251496970653534, 0.7066443521529436)","(0.6575666308403015, 0.8025270462036133)","(0.633440637588501, 0.5175363715738058)","(0.60420663356781, 0.6431633085012436)","(0.5755263328552246, 0.47516820561140777)","(0.5193044960498809, 0.4093902902677655)","(0.45655582249164584, 0.5794995844364166)","(0.43528360724449155, 0.5047651646658778)",,,0.000 ,0.000 ,0.866 ,0.691 ,0.822 ,0.816 ,0.776 ,0.714 ,0.725 ,0.707 ,0.658 ,0.803 ,0.633 ,0.518 ,0.604 ,0.643 ,0.576 ,0.475 ,0.519 ,0.409 ,0.457 ,0.579 ,0.435 ,0.505 
"Instruction_Counts,Malware,24","(0.0, 0.0)","(0.9713253319263458, 0.5031056823208928)","(0.9713229179382324, 0.5900439420714975)","(0.9713221073150635, 0.6912052517756819)","(0.971322113275528, 0.5048279406502842)","(0.9713156700134278, 0.40822092900052664)","(0.9713237226009369, 0.21901880092918868)","(0.9713221073150635, 0.6843782206997275)","(0.971321302652359, 0.4980266608297825)","(0.971322911977768, 0.6826793120242656)","(0.9713309645652771, 0.4985779343172908)","(0.9713237166404725, 0.3121981969103217)",,,0.000 ,0.000 ,0.971 ,0.503 ,0.971 ,0.590 ,0.971 ,0.691 ,0.971 ,0.505 ,0.971 ,0.408 ,0.971 ,0.219 ,0.971 ,0.684 ,0.971 ,0.498 ,0.971 ,0.683 ,0.971 ,0.499 ,0.971 ,0.312 
"Instruction_Counts,Malware,25","(0.0, 0.0)","(0.7855250395834446, 0.9713253319263458)","(0.6894894436001777, 0.9713277459144593)","(0.8787100795656443, 0.9713269352912903)","(0.6917589511722326, 0.9713204979896546)","(0.7280010629445315, 0.971322911977768)","(0.4065220205113291, 0.9713245213031769)","(0.5951873507350683, 0.9713188886642456)","(0.7204553544521332, 0.7821038853377104)","(0.6863483510911464, 0.8781410966068506)","(0.4775431338697672, 0.6877985883504152)","(0.6002993810921907, 0.5883554952219129)",,,0.000 ,0.000 ,0.786 ,0.971 ,0.689 ,0.971 ,0.879 ,0.971 ,0.692 ,0.971 ,0.728 ,0.971 ,0.407 ,0.971 ,0.595 ,0.971 ,0.720 ,0.782 ,0.686 ,0.878 ,0.478 ,0.688 ,0.600 ,0.588 
"Instruction_Counts,Malware,26","(0.0, 0.0)","(0.911664628982544, 0.9707515180110932)","(0.8407956153154373, 0.9690510034561157)","(0.9256406128406525, 0.9665030300617218)","(0.9551281332969666, 0.9699008405208588)","(0.9267174243927002, 0.9639373600482941)","(0.7445926252752543, 0.9412092864513397)","(0.535968491062522, 0.8084422439336777)","(0.8244760811328888, 0.8844305336475372)","(0.43475324995815756, 0.5387256984598935)","(0.451765713468194, 0.49405421521514653)","(0.48294086698442695, 0.5037076659500599)",,,0.000 ,0.000 ,0.912 ,0.971 ,0.841 ,0.969 ,0.926 ,0.967 ,0.955 ,0.970 ,0.927 ,0.964 ,0.745 ,0.941 ,0.536 ,0.808 ,0.824 ,0.884 ,0.435 ,0.539 ,0.452 ,0.494 ,0.483 ,0.504 
"Instruction_Counts,Malware,27","(0.0, 0.0)","(0.4963084266521037, 0.4059707345440984)","(0.6889156317338347, 0.7787068552337587)","(0.5906459246762097, 0.6923295376822353)","(0.5895079462788999, 0.6895047275349497)","(0.4059441786259413, 0.5008538909256458)","(0.4042589509859681, 0.7832394434139133)","(0.21560971215367317, 0.5923472533933818)","(0.308790722861886, 0.5911980088800192)","(0.3793378179892898, 0.683808427490294)","(0.49970142152160396, 0.5037092752754688)","(0.30652443505823607, 0.691188364289701)",,,0.000 ,0.000 ,0.496 ,0.406 ,0.689 ,0.779 ,0.591 ,0.692 ,0.590 ,0.690 ,0.406 ,0.501 ,0.404 ,0.783 ,0.216 ,0.592 ,0.309 ,0.591 ,0.379 ,0.684 ,0.500 ,0.504 ,0.307 ,0.691 
"Instruction_Counts,Malware,28","(0.0, 0.0)","(0.9713196992874146, 0.9713253319263458)","(0.9713261365890503, 0.9713277459144593)","(0.9713261306285859, 0.9713269352912903)","(0.9713237226009369, 0.9713204979896546)","(0.9713196933269501, 0.971322911977768)","(0.971322101354599, 0.9713245213031769)","(0.9713213086128235, 0.9713188886642456)","(0.9713261246681213, 0.7821038853377104)","(0.9713269472122192, 0.8781410966068506)","(0.9713188946247101, 0.6877985883504152)","(0.9713229179382324, 0.5883554952219129)",,,0.000 ,0.000 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.782 ,0.971 ,0.878 ,0.971 ,0.688 ,0.971 ,0.588 
"Instruction_Counts,Malware,29","(0.0, 0.0)","(0.9355483829975129, 0.9707515180110932)","(0.7615326344966888, 0.9690510034561157)","(0.7407457232475281, 0.9665030300617218)","(0.6550210833549499, 0.9699008405208588)","(0.5778119325637817, 0.9639373600482941)","(0.5590756267309189, 0.9412092864513397)","(0.5017085641622543, 0.8084422439336777)","(0.49232712388038635, 0.8844305336475372)","(0.5059643089771271, 0.5387256984598935)","(0.5019717395305634, 0.49405421521514653)","(0.49005037546157837, 0.5037076659500599)",,,0.000 ,0.000 ,0.936 ,0.971 ,0.762 ,0.969 ,0.741 ,0.967 ,0.655 ,0.970 ,0.578 ,0.964 ,0.559 ,0.941 ,0.502 ,0.808 ,0.492 ,0.884 ,0.506 ,0.539 ,0.502 ,0.494 ,0.490 ,0.504 
"Instruction_Counts,Malware,30","(0.0, 0.0)","(0.02867547692731017, 0.4059707345440984)","(0.028674671612679902, 0.7787068552337587)","(0.028675476834177906, 0.6923295376822353)","(0.02868110984563823, 0.6895047275349497)","(0.028675476741045654, 0.5008538909256458)","(0.028682719357311693, 0.7832394434139133)","(0.028677086252719107, 0.5923472533933818)","(0.028676281403750125, 0.5911980088800192)","(0.028677890636026805, 0.683808427490294)","(0.02867064764723176, 0.5037092752754688)","(0.0286827195435762, 0.691188364289701)",,,0.000 ,0.000 ,0.029 ,0.406 ,0.029 ,0.779 ,0.029 ,0.692 ,0.029 ,0.690 ,0.029 ,0.501 ,0.029 ,0.783 ,0.029 ,0.592 ,0.029 ,0.591 ,0.029 ,0.684 ,0.029 ,0.504 ,0.029 ,0.691 
"Instruction_Counts,Malware,31","(0.0, 0.0)","(0.9426232993602752, 0.9713196933269501)","(0.848597252368927, 0.9713237226009369)","(0.9713237285614014, 0.9713221073150635)","(0.9605612695217133, 0.9713221073150635)","(0.9136653423309327, 0.9713188946247101)","(0.9056979149580002, 0.9713196933269501)","(0.7292863070964813, 0.8858147770166397)","(0.7921774387359619, 0.9693374931812286)","(0.49978431705385445, 0.5997312057763338)","(0.5125008096918464, 0.7218750059604645)","(0.4227063486352563, 0.7216939195990563)",,,0.000 ,0.000 ,0.943 ,0.971 ,0.849 ,0.971 ,0.971 ,0.971 ,0.961 ,0.971 ,0.914 ,0.971 ,0.906 ,0.971 ,0.729 ,0.886 ,0.792 ,0.969 ,0.500 ,0.600 ,0.513 ,0.722 ,0.423 ,0.722 
"Instruction_Counts,Malware,32","(0.0, 0.0)","(0.51986463367939, 0.5175943225622177)","(0.5053365617990494, 0.4898145705461502)","(0.5340426295995713, 0.49542476534843444)","(0.48526509404182433, 0.4696771174669266)","(0.5082740485668182, 0.5640991151332855)","(0.5386218726634979, 0.5071521699428558)","(0.5079497158527374, 0.5399787455797196)","(0.5275552034378052, 0.4945934325456619)","(0.6134947210550308, 0.5482431411743164)","(0.6547450482845306, 0.5130705922842026)","(0.5073453187942505, 0.5354968786239624)",,,0.000 ,0.000 ,0.520 ,0.518 ,0.505 ,0.490 ,0.534 ,0.495 ,0.485 ,0.470 ,0.508 ,0.564 ,0.539 ,0.507 ,0.508 ,0.540 ,0.528 ,0.495 ,0.613 ,0.548 ,0.655 ,0.513 ,0.507 ,0.535 
"Instruction_Counts,Malware,33","(0.0, 0.0)","(0.7974818148650229, 0.6576704626902938)","(0.47239650301635266, 0.7992080882191658)","(0.6351290874183178, 0.4410636113956571)","(0.6262232780456543, 0.6267319003120064)","(0.6038139022886753, 0.5784984247758984)","(0.6248366234824061, 0.5551112180575728)","(0.7257798343896866, 0.5717188743874431)","(0.6762450091540814, 0.610004334896803)","(0.66126949172467, 0.39106844197958707)","(0.3543635804206133, 0.6390274867415429)","(0.6474761754274369, 0.549367431923747)",,,0.000 ,0.000 ,0.797 ,0.658 ,0.472 ,0.799 ,0.635 ,0.441 ,0.626 ,0.627 ,0.604 ,0.578 ,0.625 ,0.555 ,0.726 ,0.572 ,0.676 ,0.610 ,0.661 ,0.391 ,0.354 ,0.639 ,0.647 ,0.549 
"Instruction_Counts,Malware,34","(0.0, 0.0)","(0.9713245272636414, 0.9713196933269501)","(0.9713156700134278, 0.9713237226009369)","(0.971322911977768, 0.9713221073150635)","(0.9713204979896546, 0.9713221073150635)","(0.9713285505771637, 0.9713188946247101)","(0.9713245272636414, 0.9713196933269501)","(0.9676305413246155, 0.8858147770166397)","(0.8012764036655426, 0.9693374931812286)","(0.6209454596042633, 0.5997312057763338)","(0.613264548778534, 0.7218750059604645)","(0.6129828751087188, 0.7216939195990563)",,,0.000 ,0.000 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.968 ,0.886 ,0.801 ,0.969 ,0.621 ,0.600 ,0.613 ,0.722 ,0.613 ,0.722 
